Bandit,Reward,Algorithm
2,2.704768849525688,EpsilonGreedy
2,0.30138052943080895,EpsilonGreedy
4,4.286600310533539,EpsilonGreedy
4,3.079804234876036,EpsilonGreedy
1,1.4051667047397962,EpsilonGreedy
4,4.432409972942955,EpsilonGreedy
4,4.380898830643014,EpsilonGreedy
1,2.8900344484689473,EpsilonGreedy
4,4.207332618383517,EpsilonGreedy
1,2.7918101389712318,EpsilonGreedy
4,5.458160607937819,EpsilonGreedy
4,4.261909008502973,EpsilonGreedy
4,5.080283539126958,EpsilonGreedy
4,2.198796176483068,EpsilonGreedy
4,3.737658498688268,EpsilonGreedy
4,3.6734947187248626,EpsilonGreedy
4,6.023481450757526,EpsilonGreedy
4,3.608396157070816,EpsilonGreedy
4,5.122812548778493,EpsilonGreedy
4,5.12183851003088,EpsilonGreedy
4,3.8158333204260417,EpsilonGreedy
4,2.698329542380711,EpsilonGreedy
4,3.6988713366150847,EpsilonGreedy
4,4.199510129320981,EpsilonGreedy
4,4.779610461519619,EpsilonGreedy
4,2.748418211751842,EpsilonGreedy
4,2.383488205580851,EpsilonGreedy
4,3.146949220134188,EpsilonGreedy
4,4.566266126168199,EpsilonGreedy
4,3.358987598447287,EpsilonGreedy
4,4.235754288316704,EpsilonGreedy
4,3.4169060915784866,EpsilonGreedy
4,3.469337107439088,EpsilonGreedy
3,2.3145312449300985,EpsilonGreedy
4,3.601893511486801,EpsilonGreedy
4,2.7744925816482784,EpsilonGreedy
4,2.240908541675289,EpsilonGreedy
4,3.7446342162601893,EpsilonGreedy
4,3.3626022607221344,EpsilonGreedy
4,4.806484871665543,EpsilonGreedy
4,4.875653270144717,EpsilonGreedy
4,4.172039095014788,EpsilonGreedy
4,3.5340510860768366,EpsilonGreedy
4,4.408268441323968,EpsilonGreedy
4,3.4129960758541156,EpsilonGreedy
4,4.814631136002876,EpsilonGreedy
2,1.8182944499452662,EpsilonGreedy
4,4.675085001795571,EpsilonGreedy
4,5.58359425787348,EpsilonGreedy
4,4.05464885921179,EpsilonGreedy
4,3.8450677172242167,EpsilonGreedy
4,5.610775960644318,EpsilonGreedy
4,5.74363892660875,EpsilonGreedy
4,4.742837478845334,EpsilonGreedy
4,3.2340807604755386,EpsilonGreedy
4,3.719500592840674,EpsilonGreedy
4,3.6970072659523208,EpsilonGreedy
4,4.576798648484176,EpsilonGreedy
4,4.215053002061786,EpsilonGreedy
4,2.4827174433777666,EpsilonGreedy
4,3.8804655342990237,EpsilonGreedy
4,3.8722853750519963,EpsilonGreedy
4,2.8694711758880684,EpsilonGreedy
4,3.7688256086622025,EpsilonGreedy
4,4.475082585536435,EpsilonGreedy
4,3.6714171750740463,EpsilonGreedy
4,2.582003854536941,EpsilonGreedy
4,4.414378179253882,EpsilonGreedy
4,3.8149379642273082,EpsilonGreedy
4,4.435017155113897,EpsilonGreedy
4,3.208497317707516,EpsilonGreedy
4,2.6439462753991103,EpsilonGreedy
4,3.571328403323034,EpsilonGreedy
4,4.306077482004967,EpsilonGreedy
4,6.007905384198748,EpsilonGreedy
4,3.879619048802884,EpsilonGreedy
4,4.223527277140373,EpsilonGreedy
4,3.6527560345468135,EpsilonGreedy
4,3.9146924737011273,EpsilonGreedy
4,1.4879016584995668,EpsilonGreedy
4,5.104157502979593,EpsilonGreedy
4,5.080144020549563,EpsilonGreedy
4,2.4026931051879616,EpsilonGreedy
4,2.6650763094618215,EpsilonGreedy
4,2.649857281740715,EpsilonGreedy
4,4.213897194811517,EpsilonGreedy
4,5.3726227392428045,EpsilonGreedy
4,2.144310333883295,EpsilonGreedy
4,5.669296379771667,EpsilonGreedy
4,4.573593161102756,EpsilonGreedy
4,4.967249053410268,EpsilonGreedy
4,5.001600071180016,EpsilonGreedy
4,3.629870205746874,EpsilonGreedy
4,4.895340249588308,EpsilonGreedy
4,5.654039885001266,EpsilonGreedy
4,3.833387264286313,EpsilonGreedy
4,3.6766226181737727,EpsilonGreedy
4,5.398448566082517,EpsilonGreedy
4,3.962471022277381,EpsilonGreedy
4,4.6430687381193305,EpsilonGreedy
4,3.148753047578298,EpsilonGreedy
4,2.933842340280459,EpsilonGreedy
4,2.802600195786641,EpsilonGreedy
4,3.407935884317733,EpsilonGreedy
4,5.075470306531705,EpsilonGreedy
4,2.4296541125561246,EpsilonGreedy
4,6.1899568491711445,EpsilonGreedy
4,5.224089012346068,EpsilonGreedy
4,1.9324975220760319,EpsilonGreedy
4,2.8752398778706545,EpsilonGreedy
4,4.393592094608653,EpsilonGreedy
4,3.29984937484366,EpsilonGreedy
4,2.866671946823499,EpsilonGreedy
4,4.531453220795527,EpsilonGreedy
4,3.89835990288026,EpsilonGreedy
4,4.351230587956827,EpsilonGreedy
4,4.1859793032184,EpsilonGreedy
4,5.174714391487604,EpsilonGreedy
4,3.882494722109426,EpsilonGreedy
4,2.6150556611767635,EpsilonGreedy
4,3.7150913421054743,EpsilonGreedy
4,3.1975196631544573,EpsilonGreedy
4,4.0126337441848765,EpsilonGreedy
4,3.3021220078376987,EpsilonGreedy
4,5.5784886038590376,EpsilonGreedy
4,3.1836241811188293,EpsilonGreedy
4,3.9801028490094534,EpsilonGreedy
4,1.191300207972684,EpsilonGreedy
4,4.29639952182072,EpsilonGreedy
4,5.788621990201183,EpsilonGreedy
4,5.502551371505977,EpsilonGreedy
4,1.3303282198833224,EpsilonGreedy
4,3.1271545012722735,EpsilonGreedy
4,5.358881959955139,EpsilonGreedy
4,1.975959246467514,EpsilonGreedy
4,3.6978667093645776,EpsilonGreedy
4,4.052562033033137,EpsilonGreedy
4,4.353891309935184,EpsilonGreedy
4,4.0102790571455555,EpsilonGreedy
4,4.128199163356306,EpsilonGreedy
4,4.471999246750444,EpsilonGreedy
4,4.946618417402009,EpsilonGreedy
4,3.888200995287085,EpsilonGreedy
4,4.488835014648307,EpsilonGreedy
4,3.308128426703858,EpsilonGreedy
4,2.4687302848960764,EpsilonGreedy
4,4.110429997306223,EpsilonGreedy
4,3.977948192336645,EpsilonGreedy
4,3.9168458197603404,EpsilonGreedy
4,3.330311916636638,EpsilonGreedy
4,4.2812606966367195,EpsilonGreedy
4,2.7716629905146837,EpsilonGreedy
4,5.225740819757722,EpsilonGreedy
4,5.1749766699421,EpsilonGreedy
4,4.132666376028393,EpsilonGreedy
4,4.1449856491447505,EpsilonGreedy
4,3.199655463881186,EpsilonGreedy
4,3.2687031845905055,EpsilonGreedy
4,4.237438367914781,EpsilonGreedy
4,4.27512278296443,EpsilonGreedy
4,2.8008648490112864,EpsilonGreedy
4,5.115634197474249,EpsilonGreedy
4,5.868154687016894,EpsilonGreedy
4,4.339209697460238,EpsilonGreedy
4,4.187108062887454,EpsilonGreedy
4,4.878817053880297,EpsilonGreedy
4,3.5101154744768865,EpsilonGreedy
4,4.210292082778557,EpsilonGreedy
4,2.3768245056488304,EpsilonGreedy
4,5.3107302413103525,EpsilonGreedy
4,3.958116156338447,EpsilonGreedy
4,3.8727542069926155,EpsilonGreedy
4,4.753956213554643,EpsilonGreedy
4,2.5783034712841304,EpsilonGreedy
4,3.8607978167124832,EpsilonGreedy
4,4.186722597320895,EpsilonGreedy
4,3.7361817531878714,EpsilonGreedy
4,2.9178069862843534,EpsilonGreedy
4,3.347073591421116,EpsilonGreedy
4,4.2659026171540075,EpsilonGreedy
4,3.9872909840462842,EpsilonGreedy
4,3.6564002563068208,EpsilonGreedy
4,4.161480191312316,EpsilonGreedy
4,6.3846210421734195,EpsilonGreedy
4,2.948370197542859,EpsilonGreedy
4,3.9786502523078147,EpsilonGreedy
4,5.062385244208954,EpsilonGreedy
4,3.0647859581167745,EpsilonGreedy
4,4.020934744660463,EpsilonGreedy
4,4.229605781051467,EpsilonGreedy
4,4.884861081438232,EpsilonGreedy
4,3.716451248592655,EpsilonGreedy
4,3.2963968947754885,EpsilonGreedy
4,4.03479178733783,EpsilonGreedy
4,3.821450080627511,EpsilonGreedy
4,2.501457527591917,EpsilonGreedy
4,5.474940090681508,EpsilonGreedy
4,3.672403870074914,EpsilonGreedy
4,3.9267557773492694,EpsilonGreedy
4,4.058148159488904,EpsilonGreedy
4,4.543464280690718,EpsilonGreedy
4,4.604486502308349,EpsilonGreedy
4,2.5921576885518145,EpsilonGreedy
4,4.849399289652721,EpsilonGreedy
4,5.137085212333697,EpsilonGreedy
4,4.09060570128771,EpsilonGreedy
4,6.583201179855337,EpsilonGreedy
4,4.175482152667914,EpsilonGreedy
4,3.242767457260772,EpsilonGreedy
4,4.206136163529531,EpsilonGreedy
