Bandit,Reward,Algorithm
3,3.4071266203867134,ThompsonSampling
3,3.5703699858543283,ThompsonSampling
3,4.134465815445779,ThompsonSampling
3,3.962097195268932,ThompsonSampling
3,4.509640447602627,ThompsonSampling
3,3.6504177222369227,ThompsonSampling
3,3.5425280146177274,ThompsonSampling
3,3.412732133841258,ThompsonSampling
3,4.42162305331532,ThompsonSampling
3,2.985261026233943,ThompsonSampling
3,2.4592599779958193,ThompsonSampling
3,4.490652748163637,ThompsonSampling
3,2.731253591588406,ThompsonSampling
3,3.16362699468978,ThompsonSampling
3,3.0496285352405774,ThompsonSampling
3,3.039069805111857,ThompsonSampling
3,2.4553462623167888,ThompsonSampling
3,3.492290059929264,ThompsonSampling
3,4.735000897183223,ThompsonSampling
3,2.412551878234253,ThompsonSampling
3,2.6958068010589584,ThompsonSampling
1,0.5043775993792665,ThompsonSampling
3,4.257926856363765,ThompsonSampling
3,1.6325676969504996,ThompsonSampling
3,2.4858284440149827,ThompsonSampling
3,4.911390305382917,ThompsonSampling
3,2.1989612458859313,ThompsonSampling
3,4.086657730689714,ThompsonSampling
3,3.5398791677096,ThompsonSampling
3,4.145382737170285,ThompsonSampling
3,3.951745299302695,ThompsonSampling
3,3.940460245007504,ThompsonSampling
3,1.9905616474918542,ThompsonSampling
3,3.4240566256718874,ThompsonSampling
3,2.8656717913767302,ThompsonSampling
3,3.2108991706428,ThompsonSampling
3,2.202380333231144,ThompsonSampling
3,1.2232692537328655,ThompsonSampling
3,3.0489634437381077,ThompsonSampling
3,2.638995890633254,ThompsonSampling
3,3.3542864516841533,ThompsonSampling
3,2.190555977063692,ThompsonSampling
3,1.909998983580156,ThompsonSampling
3,3.2890407957348957,ThompsonSampling
3,3.696913155219458,ThompsonSampling
3,3.6964314209759115,ThompsonSampling
3,1.638519729029208,ThompsonSampling
3,3.303175375614835,ThompsonSampling
3,2.8185559238109374,ThompsonSampling
3,2.887323341377963,ThompsonSampling
3,3.783543650730808,ThompsonSampling
3,2.2540357898724857,ThompsonSampling
3,1.1473317728851122,ThompsonSampling
3,1.81369987885798,ThompsonSampling
3,0.7973369178783516,ThompsonSampling
3,2.10182330788882,ThompsonSampling
3,2.695696805919057,ThompsonSampling
3,2.962879644605998,ThompsonSampling
3,2.652578749325857,ThompsonSampling
3,2.569511319120542,ThompsonSampling
3,2.106435279641527,ThompsonSampling
3,0.3133026042554814,ThompsonSampling
3,4.255510028300286,ThompsonSampling
3,3.5966954990207003,ThompsonSampling
3,2.2651314321237193,ThompsonSampling
3,3.541834857795851,ThompsonSampling
3,1.406892654887369,ThompsonSampling
3,3.0511258863359165,ThompsonSampling
3,4.240699653218444,ThompsonSampling
3,2.223008571064855,ThompsonSampling
3,1.5832768644810373,ThompsonSampling
3,2.390858553236523,ThompsonSampling
3,2.9870390837062297,ThompsonSampling
3,2.791769174346711,ThompsonSampling
3,3.3205273876088848,ThompsonSampling
3,4.5848210078529785,ThompsonSampling
3,2.2503568162820757,ThompsonSampling
3,3.226250862090513,ThompsonSampling
3,4.018882655554014,ThompsonSampling
3,2.0558222096818675,ThompsonSampling
3,4.958987606812109,ThompsonSampling
3,2.559951808814846,ThompsonSampling
3,3.5612162603476754,ThompsonSampling
3,3.4390613084823896,ThompsonSampling
3,2.8128390734799686,ThompsonSampling
3,5.472702790778353,ThompsonSampling
3,3.974617564458316,ThompsonSampling
3,2.8192016964056985,ThompsonSampling
3,2.9657933440171322,ThompsonSampling
3,3.4011655085113954,ThompsonSampling
3,3.8645245377645745,ThompsonSampling
3,1.5198271785669022,ThompsonSampling
3,2.568758240793989,ThompsonSampling
3,3.0977535657745885,ThompsonSampling
3,3.448033036370139,ThompsonSampling
3,3.0682188795440104,ThompsonSampling
3,3.068843853689651,ThompsonSampling
3,1.6496452037043834,ThompsonSampling
3,4.2818875524597475,ThompsonSampling
3,1.595991921391434,ThompsonSampling
3,2.931610719353303,ThompsonSampling
3,2.884152711282036,ThompsonSampling
3,3.0187076645704294,ThompsonSampling
3,2.4136147021380547,ThompsonSampling
3,2.558699451997169,ThompsonSampling
3,3.1239363364632724,ThompsonSampling
3,2.701181229723848,ThompsonSampling
3,3.1170522146615314,ThompsonSampling
3,1.8771043620633878,ThompsonSampling
3,4.3832195575741135,ThompsonSampling
3,4.047371390365501,ThompsonSampling
3,1.1016196921277541,ThompsonSampling
3,2.1159258648824526,ThompsonSampling
3,3.202142380847634,ThompsonSampling
3,3.4938393291846666,ThompsonSampling
3,2.536395134593742,ThompsonSampling
3,3.4430525964086502,ThompsonSampling
3,4.999977414120935,ThompsonSampling
3,4.094395842710781,ThompsonSampling
3,3.364287907956802,ThompsonSampling
3,5.00152562272193,ThompsonSampling
3,2.6474356179982284,ThompsonSampling
3,2.390086180862996,ThompsonSampling
3,4.366118488261693,ThompsonSampling
3,1.2179156776450981,ThompsonSampling
3,3.8822962614647842,ThompsonSampling
3,2.3540191780047364,ThompsonSampling
3,3.1434438368261977,ThompsonSampling
3,3.6691625577850226,ThompsonSampling
3,2.873684975877068,ThompsonSampling
3,4.271360743341703,ThompsonSampling
3,3.1229772426833353,ThompsonSampling
3,3.46605292986943,ThompsonSampling
3,3.325203737276842,ThompsonSampling
3,2.6565838203082843,ThompsonSampling
3,3.2108043419333256,ThompsonSampling
3,2.9140889530898417,ThompsonSampling
3,2.80318240501689,ThompsonSampling
3,2.0078207107075112,ThompsonSampling
3,2.341755737962095,ThompsonSampling
3,3.2542382580664624,ThompsonSampling
3,1.4917933429120696,ThompsonSampling
3,1.3333523269900758,ThompsonSampling
3,2.328381094106069,ThompsonSampling
3,2.7839585793834813,ThompsonSampling
3,2.9351839487416242,ThompsonSampling
3,1.353818136379841,ThompsonSampling
3,3.3092120572007127,ThompsonSampling
3,2.3857241885199585,ThompsonSampling
3,3.4105326413229426,ThompsonSampling
3,3.274016323691411,ThompsonSampling
3,3.861651689873362,ThompsonSampling
3,1.7018851167664761,ThompsonSampling
3,4.524645657832214,ThompsonSampling
3,3.7627221817236123,ThompsonSampling
3,0.800397474118058,ThompsonSampling
3,2.606258647165777,ThompsonSampling
3,1.4415560670172056,ThompsonSampling
3,2.10533544648604,ThompsonSampling
3,2.333343558158515,ThompsonSampling
3,3.1567180642753714,ThompsonSampling
3,1.9145179223307085,ThompsonSampling
3,0.41915146441364026,ThompsonSampling
3,3.114652132845814,ThompsonSampling
3,4.913640732815465,ThompsonSampling
3,4.039204840074549,ThompsonSampling
3,2.2148477571914813,ThompsonSampling
3,3.533756725093246,ThompsonSampling
3,3.642521186096767,ThompsonSampling
